UK_lineage,taxon
UK1672,England/SHEF-CC60E/2020
UK1585,England/SHEF-D2456/2020
UK1790,England/SHEF-D291B/2020
UK352,England/SHEF-C3E96/2020
UK1200,England/SHEF-C75E8/2020
UK899,England/SHEF-C80C8/2020
UK1211,England/SHEF-C2E3D/2020
UK723,England/SHEF-C5A18/2020
UK42,England/SHEF-D1220/2020
UK256,England/SHEF-C6ACC/2020
UK740,England/SHEF-D14EE/2020
UK876,England/SHEF-C0AD1/2020
UK1893,England/SHEF-C2899/2020
UK494,England/SHEF-CE7FA/2020
UK662,England/SHEF-C58E1/2020
UK534,England/SHEF-C0FF0/2020
UK2127,England/SHEF-CD412/2020
UK31,England/SHEF-C4F56/2020
UK1925,England/SHEF-CA10F/2020
UK813,England/SHEF-C676B/2020
UK1203,England/SHEF-C4D6B/2020
UK1279,England/SHEF-D1D3E/2020
UK2052,England/SHEF-C70AB/2020
UK1942,England/SHEF-D0300/2020
UK4495,England/SHEF-D0607/2020
UK1930,England/SHEF-D0B35/2020
UK1869,England/SHEF-CCC2A/2020
UK1882,England/SHEF-C77C4/2020
UK1974,England/SHEF-CC431/2020
UK1863,England/SHEF-D130F/2020
UK916,England/SHEF-C4C13/2020
UK1066,England/SHEF-D1026/2020
UK1307,England/SHEF-CBB2E/2020
UK227,England/SHEF-CE6DF/2020
UK1141,England/SHEF-C6DB4/2020
UK734,England/SHEF-D077D/2020
UK1065,England/SHEF-C8505/2020
UK1487,England/SHEF-D2BCA/2020
UK1842,England/SHEF-CFCAF/2020
UK289,England/SHEF-CA846/2020
UK902,England/SHEF-C12D8/2020
UK1157,England/SHEF-C41D8/2020
UK337,England/SHEF-D1E3B/2020
UK1535,England/SHEF-CD403/2020
UK274,England/SHEF-C7A8F/2020
UK2019,England/SHEF-CBE8F/2020
UK566,England/SHEF-CEE04/2020
UK893,England/SHEF-D31B8/2020
UK1665,England/SHEF-C6EEE/2020
UK1228,England/SHEF-C5650/2020
UK318,England/SHEF-C9DC0/2020
UK286,England/SHEF-C9BB7/2020
UK752,England/SHEF-C78EF/2020
UK852,England/SHEF-CCD90/2020
UK96,England/SHEF-C379B/2020
UK2080,England/SHEF-D3358/2020
UK2200,England/SHEF-C19D3/2020
UK476,England/SHEF-C26BD/2020
UK1246,England/SHEF-C1F2C/2020
UK871,England/SHEF-C3CC9/2020
UK1155,England/SHEF-C16DC/2020
UK86,England/SHEF-D1475/2020
UK2022,England/SHEF-D2E58/2020
UK1838,England/SHEF-C32C7/2020
UK951,England/SHEF-C30DC/2020
UK207,England/SHEF-D13B4/2020
UK619,England/SHEF-C0C35/2020
UK722,England/SHEF-C524D/2020
UK1894,England/SHEF-D0591/2020
UK1723,England/SHEF-CF3C8/2020
UK9,England/SHEF-C0C26/2020
UK345,England/SHEF-D12D5/2020
UK1130,England/SHEF-D2BAC/2020
UK1697,England/SHEF-C13C6/2020
UK330,England/SHEF-CCB2D/2020
UK597,England/SHEF-C3810/2020
UK116,England/SHEF-CA169/2020
UK1840,England/SHEF-C2F76/2020
UK258,England/SHEF-D0731/2020
UK829,England/SHEF-CD430/2020
UK2100,England/SHEF-D2869/2020
UK280,England/SHEF-C72F0/2020
UK1276,England/SHEF-D20CB/2020
UK731,England/SHEF-CFDCA/2020
UK153,England/SHEF-CAF7E/2020
UK2906,England/SHEF-BFD09/2020
UK1935,England/SHEF-CCED9/2020
UK2089,England/SHEF-C2310/2020
UK2065,England/SHEF-CD737/2020
UK281,England/SHEF-CB3F9/2020
UK642,England/SHEF-D227A/2020
UK1691,England/SHEF-C0118/2020
UK2125,England/SHEF-C0093/2020
UK1006,England/SHEF-C0303/2020
UK965,England/SHEF-C0488/2020
UK667,England/SHEF-C03D6/2020
UK22,England/SHEF-C087D/2020
UK1654,England/SHEF-C08AA/2020
UK1619,England/SHEF-C092F/2020
UK4472,England/SHEF-C051C/2020
UK1570,England/SHEF-C078F/2020
UK536,England/SHEF-BFF7C/2020
UK1298,England/SHEF-BFED9/2020
