UK_lineage,taxon
UK1097,Scotland/EDB7378/2020
UK924,Scotland/EDB7369/2020
UK510,Scotland/EDB7368/2020
UK873,Scotland/EDB6941/2020
UK254,Scotland/EDB7373/2020
UK1225,Scotland/EDB7366/2020
UK312,Scotland/EDB7128/2020
UK1363,Scotland/EDB7131/2020
UK1145,Scotland/EDB7101/2020
UK2007,Scotland/EDB3839/2020
UK369,Scotland/EDB6640/2020
UK1418,Scotland/EDB5265/2020
UK437,Scotland/EDB4976/2020
UK1486,Scotland/EDB4775/2020
UK1033,Scotland/EDB6515/2020
UK527,Scotland/EDB6091/2020
UK1218,Scotland/EDB6498/2020
UK787,Scotland/EDB5713/2020
UK1399,Scotland/EDB4585/2020
UK678,Scotland/EDB5437/2020
UK1135,Scotland/EDB5735/2020
UK959,Scotland/EDB5391/2020
UK1180,Scotland/EDB5380/2020
UK1335,Scotland/EDB5370/2020
UK1723,Scotland/EDB5376/2020
UK679,Scotland/EDB5373/2020
UK1767,Scotland/EDB5051/2020
UK1462,Scotland/EDB3021/2020
UK1354,Scotland/EDB5095/2020
UK1124,Scotland/EDB4163/2020
UK1011,Scotland/EDB5110/2020
UK425,Scotland/EDB5107/2020
UK157,Scotland/EDB5017/2020
UK628,Scotland/EDB4323/2020
UK625,Scotland/EDB4835/2020
UK1438,Scotland/EDB4629/2020
UK1330,Scotland/EDB4710/2020
UK1250,Scotland/EDB2660/2020
UK341,Scotland/EDB2445/2020
UK558,Scotland/EDB2382/2020
UK1458,Scotland/EDB2476/2020
UK856,Scotland/EDB2106/2020
UK1441,Scotland/EDB2097/2020
UK295,Scotland/EDB1679/2020
UK986,Scotland/EDB1652/2020
UK2034,Scotland/EDB1515/2020
UK4498,Scotland/EDB1582/2020
UK1911,Scotland/EDB1335/2020
UK494,Scotland/EDB1420/2020
UK1475,Scotland/EDB133/2020
UK101,Scotland/EDB1152/2020
UK17,Scotland/EDB1172/2020
UK963,Scotland/EDB1169/2020
UK1678,Scotland/EDB1167/2020
UK292,Scotland/EDB1168/2020
UK1404,Scotland/EDB1098/2020
UK51,Scotland/EDB1112/2020
UK10,Scotland/EDB1079/2020
UK1332,Scotland/EDB999/2020
UK4,Scotland/EDB928/2020
UK595,Scotland/EDB721/2020
UK9,Scotland/EDB828/2020
UK1134,Scotland/EDB576/2020
UK1942,Scotland/EDB593/2020
UK339,Scotland/EDB598/2020
UK890,Scotland/EDB625/2020
UK379,Scotland/EDB508/2020
UK82,Scotland/EDB266/2020
UK1743,Scotland/EDB383/2020
UK1075,Scotland/EDB396/2020
UK782,Scotland/EDB335/2020
UK1527,Scotland/EDB321/2020
UK479,Scotland/EDB248/2020
UK1040,Scotland/EDB300/2020
UK1639,Scotland/EDB275/2020
UK2200,Scotland/EDB197/2020
UK499,Scotland/EDB182/2020
UK618,Scotland/EDB171/2020
UK1126,Scotland/EDB193/2020
UK294,Scotland/EDB151/2020
UK844,Scotland/EDB132/2020
UK1006,Scotland/EDB122/2020
UK55,Scotland/EDB097/2020
UK958,Scotland/EDB100/2020
UK4510,Scotland/EDB109/2020
UK288,Scotland/EDB086/2020
UK616,Scotland/EDB042/2020
UK177,Scotland/EDB039/2020
UK786,Scotland/EDB019/2020
UK367,Scotland/EDB015/2020
UK1844,Scotland/EDB016/2020
UK115,Scotland/EDB029/2020
UK2044,Scotland/EDB028/2020
UK1535,Scotland/EDB009/2020
UK615,Scotland/EDB006/2020
