UK_lineage,taxon
UK569,England/CAMB-1B4EC4/2020
UK309,England/CAMB-1B20DF/2020
UK366,England/CAMB-1B0684/2020
UK637,England/CAMB-1B0736/2020
UK610,England/CAMB-1AEC96/2020
UK345,England/CAMB-1AE391/2020
UK563,England/CAMB-1AD17A/2020
UK203,England/CAMB-1AC111/2020
UK4477,England/CAMB-1ABF45/2020
UK535,England/CAMB-1ABEEE/2020
UK219,England/CAMB-83EA1/2020
UK497,England/CAMB-82CC6/2020
UK4552,England/CAMB-81F46/2020
UK802,England/CAMB-82006/2020
UK22,England/CAMB-8209D/2020
UK287,England/CAMB-80E77/2020
UK4237,England/CAMB-8119B/2020
UK3047,England/CAMB-7E225/2020
UK332,England/CAMB-7E2CB/2020
UK126,England/CAMB-7FBA1/2020
UK375,England/CAMB-7C00F/2020
UK391,England/CAMB-7C0C3/2020
UK310,England/CAMB-7B501/2020
UK360,England/CAMB-7B422/2020
UK605,England/CAMB-7B45F/2020
UK116,England/CAMB-7B4F5/2020
UK1005,England/CAMB-7AF22/2020
UK809,England/CAMB-7AD64/2020
UK239,England/CAMB-7AD37/2020
UK110,England/CAMB-7AC0D/2020
UK425,England/CAMB-7AAB8/2020
UK376,England/CAMB-7ABE2/2020
UK3051,England/CAMB-78917/2020
UK544,England/CAMB-78A32/2020
UK574,England/CAMB-79B01/2020
UK47,England/CAMB-79A22/2020
UK778,England/CAMB-78768/2020
UK431,England/CAMB-7874A/2020
UK5549,England/CAMB-784CB/2020
UK4130,England/CAMB-78461/2020
UK599,England/CAMB-782EF/2020
UK615,England/CAMB-782D0/2020
UK922,England/CAMB-73B8F/2020
UK625,England/CAMB-73D5C/2020
UK457,England/CAMB-73D3E/2020
UK3055,England/CAMB-738C4/2020
UK4239,England/CAMB-738B5/2020
UK1207,England/CAMB-738F1/2020
UK1721,England/CAMB-76FAE/2020
UK166,England/CAMB-73949/2020
UK683,England/CAMB-73994/2020
UK4613,England/CAMB-737A9/2020
UK680,England/CAMB-73A73/2020
UK396,England/CAMB-73ACE/2020
UK131,England/CAMB-7473F/2020
UK120,England/CAMB-746BA/2020
UK3021,England/CAMB-74720/2020
UK1614,England/CAMB-74571/2020
UK240,England/CAMB-74A09/2020
UK608,England/CAMB-74A72/2020
UK2785,England/CAMB-74D5B/2020
UK384,England/CAMB-74E49/2020
UK173,England/CAMB-74E76/2020
UK851,England/CAMB-74E58/2020
UK15,England/CAMB-74DF1/2020
UK277,England/CAMB-74E67/2020
UK138,England/CAMB-74BCA/2020
UK5098,England/CAMB-74C03/2020
UK215,England/CAMB-754B7/2020
UK293,England/CAMB-75552/2020
