UK_lineage,taxon
UK2052,Scotland/EDB5351/2020
UK2053,Scotland/EDB5348/2020
UK1723,Scotland/EDB5376/2020
UK2054,Scotland/EDB5358/2020
UK679,Scotland/EDB5373/2020
UK2049,Scotland/EDB5344/2020
UK5351,Scotland/EDB5251/2020
UK2454,Scotland/EDB289/2020
UK5526,Scotland/EDB4196/2020
UK2033,Scotland/EDB5041/2020
UK2048,Scotland/EDB5280/2020
UK2057,Scotland/EDB5247/2020
UK306,Scotland/EDB5051/2020
UK2058,Scotland/EDB5209/2020
UK1827,Scotland/EDB3021/2020
UK2059,Scotland/EDB5164/2020
UK2066,Scotland/EDB5128/2020
UK2267,Scotland/EDB5091/2020
UK2050,Scotland/EDB5123/2020
UK5111,Scotland/EDB2778/2020
UK2068,Scotland/EDB5126/2020
UK2284,Scotland/EDB5095/2020
UK2072,Scotland/EDB5155/2020
UK5894,Scotland/EDB5100/2020
UK2010,Scotland/EDB5110/2020
UK5678,Scotland/EDB5107/2020
UK294,Scotland/EDB5121/2020
UK5679,Scotland/EDB5106/2020
UK736,Scotland/EDB4187/2020
UK993,Scotland/EDB5112/2020
UK5680,Scotland/EDB5113/2020
UK185,Scotland/EDB5017/2020
UK5683,Scotland/EDB4837/2020
UK338,Scotland/EDB4883/2020
UK340,Scotland/EDB4628/2020
UK662,Scotland/EDB4323/2020
UK359,Scotland/EDB4453/2020
UK5661,Scotland/EDB4835/2020
UK385,Scotland/EDB3662/2020
UK396,Scotland/EDB2593/2020
UK408,Scotland/EDB4629/2020
UK5687,Scotland/EDB4840/2020
UK409,Scotland/EDB4676/2020
UK410,Scotland/EDB4822/2020
UK5674,Scotland/EDB4830/2020
UK467,Scotland/EDB4024/2020
UK431,Scotland/EDB4757/2020
UK1452,Scotland/EDB4342/2020
UK448,Scotland/EDB4758/2020
UK299,Scotland/EDB4744/2020
UK5646,Scotland/EDB4713/2020
UK1490,Scotland/EDB4706/2020
UK1502,Scotland/EDB4671/2020
UK1522,Scotland/EDB4682/2020
UK3108,Scotland/EDB4710/2020
UK2051,Scotland/EDB4515/2020
UK1527,Scotland/EDB4504/2020
UK696,Scotland/EDB3986/2020
