UK_lineage,taxon
UK18,England/NORW-E9331/2020
UK5627,England/NORW-E701E/2020
UK5586,England/NORW-E9216/2020
UK5587,England/NORW-E9261/2020
UK5628,England/NORW-E902B/2020
UK5549,England/NORW-E9340/2020
UK5582,England/NORW-E8FD4/2020
UK5674,England/NORW-E9067/2020
UK5673,England/NORW-E935F/2020
UK5560,England/NORW-E903A/2020
UK147,England/NORW-E7852/2020
UK162,England/NORW-E747C/2020
UK26,England/NORW-E74F4/2020
UK3101,England/NORW-E9FA6/2020
UK2635,England/NORW-E79E6/2020
UK3102,England/NORW-E789E/2020
UK4459,England/NORW-E9C54/2020
UK31,England/NORW-E77A0/2020
UK3103,England/NORW-E7FD5/2020
UK127,England/NORW-E7430/2020
UK1632,England/NORW-E8D61/2020
UK388,England/NORW-E80A4/2020
UK3352,England/NORW-E8596/2020
UK3353,England/NORW-E83F6/2020
UK3354,England/NORW-E6DEB/2020
UK3355,England/NORW-E738E/2020
UK2203,England/NORW-E72AF/2020
UK3356,England/NORW-E7315/2020
UK3357,England/NORW-E70E1/2020
UK5520,England/NORW-E9823/2020
UK114,England/NORW-E73CA/2020
UK3358,England/NORW-E6DCD/2020
UK253,England/NORW-E84B7/2020
UK7,England/NORW-E72CD/2020
UK2666,England/NORW-E850F/2020
UK75,England/NORW-E994E/2020
UK63,England/NORW-E86C0/2020
UK3741,England/NORW-E888E/2020
UK3742,England/NORW-E8C82/2020
UK547,England/NORW-E8208/2020
UK1814,England/NORW-E81CF/2020
UK4468,England/NORW-E8095/2020
UK405,England/NORW-E8262/2020
UK23,England/NORW-E8AC4/2020
UK52,England/NORW-E81A1/2020
UK20,England/NORW-E88F7/2020
UK3743,England/NORW-E8930/2020
UK2297,England/NORW-E8851/2020
UK3744,England/NORW-E811A/2020
UK3745,England/NORW-E8A00/2020
UK2298,England/NORW-E8226/2020
UK2907,England/NORW-E82CC/2020
UK352,England/NORW-E87EB/2020
UK3746,England/NORW-E898B/2020
UK594,England/NORW-E8CDD/2020
UK185,England/NORW-E83C9/2020
UK3747,England/NORW-E8165/2020
UK2299,England/NORW-E8806/2020
UK220,England/NORW-E8183/2020
UK3748,England/NORW-E810B/2020
UK3749,England/NORW-E8A1F/2020
UK274,England/NORW-E8AF1/2020
UK3750,England/NORW-E8921/2020
